KEY	ZipCode	City	District	Street	HouseNr	X_Coordinate	Y_Coordinate	Flag_Coordinates	Version	House_ID	Image	Random
1461200000004600	1099	Dresden	Radeberger Vorstadt	Fischhausstr.	11	13,7869551	51,0691707	1	20170201	100004011	http://maps.google.com/maps/api/staticmap?center=51.0691707,13.7869551&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.0691707,13.7869551	71
1461200000004610	1099	Dresden	Radeberger Vorstadt	Fischhausstr.	12B	13,7906533	51,0717248	1	20170201	100004014	http://maps.google.com/maps/api/staticmap?center=51.0717248,13.7906533&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.0717248,13.7906533	34
1461200000004690	1099	Dresden	Äußere Neustadt	Görlitzer Str.	18	13,7548731	51,067708	1	20170201	100004093	http://maps.google.com/maps/api/staticmap?center=51.067708,13.7548731&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.067708,13.7548731	41
1461200000004720	1099	Dresden	Äußere Neustadt	Görlitzer Str.	43	13,7555084	51,0690076	1	20170201	100004122	http://maps.google.com/maps/api/staticmap?center=51.0690076,13.7555084&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.0690076,13.7555084	35
1461200000004750	1099	Dresden	Innere Neustadt	Glacisstr.	44	13,74905	51,0628833	1	20170201	100004149	http://maps.google.com/maps/api/staticmap?center=51.0628833,13.74905&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.0628833,13.74905	86
1461200000005220	1099	Dresden	Radeberger Vorstadt	Löbauer Str.	14	13,7669884	51,0683431	1	20170201	100004506	http://maps.google.com/maps/api/staticmap?center=51.0683431,13.7669884&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.0683431,13.7669884	11
1461200000005250	1099	Dresden	Innere Neustadt	Löwenstr.	5A	13,7577332	51,0621046	1	20170201	100004533	http://maps.google.com/maps/api/staticmap?center=51.0621046,13.7577332&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.0621046,13.7577332	9
1461200000005260	1099	Dresden	Innere Neustadt	Löwenstr.	6B	13,7585305	51,0616914	1	20170201	100004538	http://maps.google.com/maps/api/staticmap?center=51.0616914,13.7585305&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.0616914,13.7585305	26
1461200000005360	1099	Dresden	Äußere Neustadt	Louisenstr.	81B	13,7572516	51,0655519	1	20170201	100004639	http://maps.google.com/maps/api/staticmap?center=51.0655519,13.7572516&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.0655519,13.7572516	16
1461200000005470	1099	Dresden	Albertstadt	Meschwitzstr.	8	13,7656642186	51,0837627389	0	20170201	100004723	http://maps.google.com/maps/api/staticmap?center=51.0837627389,13.7656642186&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.0837627389,13.7656642186	67
